City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,jajpur,20.85,86.3333,89.92,61,9,11.88,IN,1684893825
323,general roca,-39.0333,-67.5833,48.61,41,0,4.36,AR,1684893826
324,saldanha,-33.0117,17.9442,46.45,83,100,7.34,ZA,1684893826
325,ola,59.5833,151.2833,43.14,92,100,7.0,RU,1684893826
326,greenville,35.6127,-77.3663,64.56,81,0,10.36,US,1684893826
327,tete,-16.1564,33.5867,65.44,98,7,2.84,MZ,1684893826
328,cadale,2.7603,46.3222,80.31,83,100,12.17,SO,1684893826
329,hilo,19.7297,-155.09,80.33,69,75,6.91,US,1684893245
330,palmas,-10.2128,-48.3603,75.07,83,0,5.75,BR,1684893826
331,novyy urengoy,66.0833,76.6333,37.11,72,24,4.61,RU,1684893827
332,mumford,5.2618,-0.759,80.4,86,98,5.41,GH,1684893827
333,santo domingo de los colorados,-0.25,-79.15,71.85,97,100,1.72,EC,1684893827
334,bako,5.7833,36.5667,62.87,86,85,4.88,ET,1684893827
335,hanceville,34.0607,-86.7675,66.11,73,99,5.14,US,1684893827
336,mar'yinka,47.9453,37.5054,58.14,96,67,5.95,UA,1684893827
337,gazli,40.1333,63.45,76.24,18,3,17.0,UZ,1684893828
338,riachao do jacuipe,-11.8069,-39.3856,70.07,92,41,4.7,BR,1684893828
339,mumbwa,-14.9783,27.0619,59.32,72,3,3.65,ZM,1684893828
340,malango,-2.9627,119.9001,78.87,71,54,3.0,ID,1684893828
341,wewak,-3.5534,143.6268,83.55,73,100,5.86,PG,1684893828
342,salbris,47.4242,2.0512,51.51,86,16,9.98,FR,1684893828
343,palmer,42.1584,-72.3287,58.82,71,20,4.41,US,1684893758
344,zouerate,22.7187,-12.4521,72.68,31,100,6.87,MR,1684893829
345,kansk,56.2017,95.7175,46.62,55,49,18.41,RU,1684893829
346,agnibilekrou,7.1344,-3.2047,73.96,98,100,2.24,CI,1684893829
347,chibougamau,49.9168,-74.3659,46.02,87,100,12.66,CA,1684893257
348,holualoa,19.6228,-155.9522,78.55,78,100,8.05,US,1684893245
349,illizi,26.4833,8.4667,76.8,16,98,3.8,DZ,1684893830
350,sinabang,2.4803,96.3801,79.97,84,100,3.76,ID,1684893233
351,cozumel,20.5083,-86.9458,84.94,83,21,8.01,MX,1684893609
352,tres barras,-26.1064,-50.3222,55.15,93,0,1.99,BR,1684893830
353,sault ste. marie,46.5168,-84.3333,64.69,68,100,9.22,CA,1684893570
354,santa cruz,-17.8,-63.1667,71.06,94,40,4.61,BO,1684893606
355,queenstown,-31.8976,26.8753,47.1,48,12,5.86,ZA,1684893830
356,mont-dore,-22.2833,166.5833,71.58,62,100,13.51,NC,1684893610
357,zhaotong,27.3167,103.7167,67.57,65,98,6.46,CN,1684893242
358,putina,-15.4667,-69.4333,42.85,80,47,7.9,PE,1684893830
359,hibaiyo,10.2726,123.321,87.48,66,21,3.56,PH,1684893831
360,iskushuban,10.2837,50.23,80.64,72,96,8.25,SO,1684893831
361,labasa,-16.4167,179.3833,83.3,64,90,5.37,FJ,1684893831
362,vallegrande,-18.4897,-64.1069,56.23,96,65,5.37,BO,1684893831
